point,landowner,finca_number,finca_ID,lat.true,long.true,land_use,output,slope,aspect,elevation,moisture,avg.temp,cam.deployment,bird.count1,bird.count2,bird.audio,bat.audio,sound.audio,gentry.transect,soil sample
AZ001,Achotines,,,7.41481,-80.16959,mature,research,30.5,140,38.5,0.725,,AZCAM01 - 20240322,AZBRD001 - 20240227,AZBRD001 - 20240228,AZAUD01 - 20240301,AZAUD02 - 20240205,AZAUD33 - 20240322,AZGEN001,AZSOIL001
AZ002,Achotines,,,7.41481,-80.16712,mature,research,24,65.5,40.7,0.3786,,AZCAM02 - 20240322,AZBRD002 - 20240227,AZBRD002 - 20240228,AZAUD03 - 20240301,AZAUD04 - 20240205,AZAUD30 - 20240322,AZGEN002,AZSOIL002
AZ003,Achotines,,,7.41481,-80.16464,nat_regen,research,20,227,38.9,0.8286,,AZCAM03 - 20240322,AZBRD003 - 20240227,AZBRD003 - 20240228,AZAUD05 - 20240301,AZAUD06 - 20240205,AZAUD44 - 20240322,AZGEN003,AZSOIL003
AZ004,Achotines,,,7.41728,-80.17206,mature,research,21,339.5,49.6,0.8539,,AZCAM04 - 20240322,AZBRD004 - 20240227,AZBRD004 - 20240228,AZAUD07 - 20240301,AZAUD08 - 20240205,AZAUD19 - 20240322,AZGEN004,AZSOIL004
AZ005,Achotines,,,7.41728,-80.16959,nat_regen,research,19.5,193.5,59.7,0.6915,,AZCAM05 - 20240322,AZBRD005 - 20240227,AZBRD005 - 20240228,AZAUD09 - 20240301,AZAUD10 - 20240205,AZAUD48 - 20240322,AZGEN005,AZSOIL005
AZ006,Achotines,,,7.41728,-80.16712,reforestation,research,20,340,45.4,0.8665,128.8,AZCAM06 - 20240322,AZBRD006 - 20240229,AZBRD006 - 20240301,AZAUD11 - 20240301,AZAUD12 - 20240205,AZAUD29 - 20240322,AZGEN006,AZSOIL006
AZ007,Achotines,,,7.41728,-80.16465,reforestation,research,23,322,28.1,0.9127,117,AZCAM07 - 20240322,AZBRD007 - 20240229,AZBRD007 - 20240301,AZAUD13 - 20240301,AZAUD14 - 20240205,AZAUD18 - 20240322,AZGEN007,AZSOIL007
AZ008,Achotines,,,7.41975,-80.16959,nat_regen,research,32,200.5,67.1,0.6653,89.4,AZCAM08 - 20240322,AZBRD008 - 20240229,AZBRD008 - 20240301,AZAUD15 - 20240301,AZAUD16 - 20240205,AZAUD14 - 20240322,AZGEN008,AZSOIL008
AZ009,Achotines,,,7.41975,-80.16711,nat_regen,research,4,10,58.9,-4.89,21.3,AZCAM09 - 20240322,AZBRD009 - 20240229,AZBRD009 - 20240301,AZAUD17 - 20240301,AZAUD18 - 20240205,AZAUD53 - 20240322,AZGEN009,AZSOIL009
AZ010,Vernes,,,7.41994,-80.16457,pasture,cattle,10,180,35.8,0.8011,72.2,AZCAM10 - 20240322,AZBRD010 - 20240229,AZBRD010 - 20240301,AZAUD44 - 20240308,,AZAUD12 - 20240322,AZGEN010,AZSOIL010
AZ011,Ruiz,,,7.4198,-80.162,pasture,cattle,2,94,38.6,0.5894,,AZCAM11 - 20240312,AZBRD011 - 20240304,AZBRD011 - 20240305,AZAUD35 - 20240305,AZAUD38 - 20240218,AZAUD37 - 20240312,AZGEN011,AZSOIL011
AZ012,Ruiz,,,7.41984,-80.1595,pasture,cattle,26,52,31.7,0.3904,,AZCAM12 - 20240315,AZBRD012 - 20240304,AZBRD012 - 20240305,AZAUD37 - 20240305,AZAUD40 - 202402XX,AZAUD23 - 20240315,AZGEN012,AZSOIL012
AZ013,Ruiz,,,7.42222,-80.16217,pasture,cattle,11,240,43.2,0.82,,AZCAM13 - 20240312,AZBRD013 - 20240304,AZBRD013 - 20240305,AZAUD43 - 20240305,AZAUD44 - 20240218,AZAUD39 - 20240312,AZGEN013,AZSOIL013
AZ014,Ruiz,,,7.4223,-80.15968,pasture,cattle,10.5,55,49.8,0.0945,,AZCAM14 - 20240315,AZBRD014 - 20240304,AZBRD014 - 20240305,AZAUD39 - 20240305,AZAUD42 - 20240208,AZAUD35 - 20240315,AZGEN014,AZSOIL014
AZ015,Saralee,,,7.4265,-80.15635,teak,wood,2,174,53.6,0.692,,AZCAM15 - 20240312,AZBRD015 - 20240304,AZBRD015 - 20240305,AZAUD47 - 20240305,AZAUD48 - 20240219,AZAUD47 - 20240312,AZGEN015,AZSOIL015
AZ016,Saralee,,,7.42702,-80.15642,teak,wood,2,43,89,-1.0698,,AZCAM16 - 20240312,AZBRD016 - 20240304,AZBRD016 - 20240305,AZAUD45 - 20240305,AZAUD46 - 20240219,AZAUD45 - 20240312,AZGEN016,AZSOIL016
AZ017,Eco Venao,,,7.43951,-80.20911,teak,wood,20.5,340.5,88.8,0.7392,143.3,AZCAM17 - 20240315,AZBRD017 - 20240219,AZBRD017 - 20240220,AZAUD25 - 20240306,AZAUD24 - 20240205,AZAUD05 - 20240315,AZGEN017,AZSOIL017
AZ018,Eco Venao,,,7.43951,-80.20664,teak,wood,17.5,340,100.5,0.7044,147.1,AZCAM18 - 20240315,AZBRD018 - 20240219,AZBRD018 - 20240220,AZAUD23 - 20240305,AZAUD22 - 20240205,AZAUD17 - 20240315,AZGEN018,AZSOIL018
AZ019,Eco Venao,,,7.43939,-80.20422,teak,wood,31,40.5,99.7,-1.4617,46.2,AZCAM19 - 20240315,AZBRD019 - 20240219,AZBRD019 - 20240220,AZAUD21 - 20240305,AZAUD20 - 20240205,AZAUD15 - 20240315,AZGEN019,AZSOIL019
AZ020,Eco Venao,,,7.43951,-80.2017,teak,wood,25,184,70.8,0.6152,85.1,AZCAM20 - 20240315,AZBRD020 - 20240221,AZBRD020 - 20240222,AZAUD19 - 20240307,AZAUD36 - 20240205,AZAUD55 - 20240315,AZGEN020,AZSOIL020
AZ021,Eco Venao,,,7.44198,-80.20911,reforestation,tourism,35,317,83.1,0.7379,133.6,AZCAM21 - 20240315,AZBRD021 - 20240219,AZBRD021 - 20240220,AZAUD27 - 20240306,AZAUD26 - 20240205,AZAUD43 - 20240315,AZGEN021,AZSOIL021
AZ022,Eco Venao,,,7.44198,-80.20664,reforestation,tourism,30,334,123.8,0.6293,152.8,AZCAM22 - 20240315,AZBRD022  - 20240219,AZBRD022  - 20240220,AZAUD29 - 20240306,,AZAUD50 - 20240315,AZGEN022,AZSOIL022
AZ023,Eco Venao,,,7.44198,-80.20417,reforestation,tourism,26,38,103.5,-1.7237,46.6,AZCAM23 - 20240315,AZBRD023 - 20240219,AZBRD023 - 20240220,AZAUD31 - 20240305,AZAUD32 - 20240205,AZAUD01 - 20240315,AZGEN023,AZSOIL023
AZ024,Eco Venao,,,7.44185,-80.20155,reforestation,tourism,21.5,110,67.5,0.3864,59.3,AZCAM24 - 20240315,AZBRD024 - 20240221,AZBRD024 - 20240222,,AZAUD34 - 20240205,AZAUD51 - 20240315,AZGEN024,AZSOIL024
AZ025,Cardenas,,,7.44202,-80.19678,pasture,cattle,29,2,69.8,-33.9,,AZCAM25 - 20240312,AZBRD025 - 20240223,AZBRD025 - 20240224,AZAUD51 - 20240306,,AZAUD49 - 20240312,AZGEN025,AZSOIL025
AZ026,Cardenas,,,7.44201,-80.19431,pasture,cattle,20,202,58.1,0.7124,,AZCAM26 - 20240312,AZBRD026 - 20240223,AZBRD026 - 20240224,AZAUD53 - 20240306,,AZAUD21 - 20240312,AZGEN026,AZSOIL026
AZ027,Cardenas,,,7.44198,-80.19182,pasture,cattle,20,140,69.3,0.505,,AZCAM27 - 20240312,AZBRD027 - 20240223,AZBRD027 - 20240224,AZAUD55 - 20240306,,AZAUD41 - 20240312,AZGEN027,AZSOIL027
AZ028,Eco Venao,,,7.44468,-80.20915,mature,tourism,15,146,98.3,0.3267,81.5,AZCAM28 - 20240315,AZBRD028 - 20240221,AZBRD028 - 20240222,AZAUD41 - 20240305,,AZAUD07 - 20240315,AZGEN028,AZSOIL028
AZ029,Eco Venao,,,7.44448,-80.20663,reforestation,tourism,30,105,108.6,-0.0343,71.2,AZCAM29 - 20240315,AZBRD029 - 20240221,AZBRD029 - 20240222,AZAUD50 - 20240305,,AZAUD09 - 20240330,AZGEN029,AZSOIL029
AZ030,Cardenas,,,7.44456,-80.19688,pasture,cattle,22,54,97.5,-0.8056,,AZCAM30 - 20240312,AZBRD030 - 20240223,AZBRD030 - 20240224,AZAUD54 - 20240306,,AZAUD11 - 20240312,AZGEN030,AZSOIL030
AZ031,Cardenas,,,7.44456,-80.19433,pasture,cattle,24,104,56.3,0.4587,,AZCAM31 - 20240312,AZBRD031 - 20240223,AZBRD031 - 20240224,AZAUD52 - 20240306,,AZAUD03 - 20240312,AZGEN031,AZSOIL031
AZ032,Cardenas,,,7.4445,-80.19182,pasture,cattle,12,308,66.7,0.7834,,AZCAM32 - 20240312,AZBRD032 - 20240223,AZBRD032 - 20240224,AZAUD46 - 20240312,,AZAUD31 - 20240312,AZGEN032,AZSOIL032
AZ033,Eco Venao,,,7.44692,-80.20911,mature,tourism,36,222,148.8,0.3297,123.7,AZCAM33 - 20240315,AZBRD033 - 20240221,AZBRD033 - 20240222,AZAUD49 - 20240305,,AZAUD13 - 20240315,AZGEN033,AZSOIL033
AZ034,Eco Venao,,,7.44692,-80.20664,mature,tourism,3,28,90.7,-2.2393,38.8,AZCAM34 - 20240315,AZBRD034 - 20240221,AZBRD034 - 20240222,AZAUD30 - 20240307,,AZAUD27 - 20240315,AZGEN034,AZSOIL034
AZ035,Panamaes,,,7.43783,-80.08364,pasture,tourism,2,180.5,12.2,0.9324,,AZCAM35 - 20240319,AZBRD035 - 20240313,AZBRD035 - 20240314,AZAUD08 - 20240313,,AZAUD39 - 20240319,AZGEN035,AZSOIL035
AZ036,Panamaes,,,7.44193,-80.09033,teak,wood,2,168,27.5,0.8363,,AZCAM36 - 20240319,AZBRD036 - 20240313,AZBRD036 - 20240314,AZAUD06 - 20240313,,AZAUD31 - 20240319,AZGEN036,AZSOIL036
AZ037,Panamaes,,,7.44413,-80.09151,teak,wood,2,110,45.9,0.5827,,AZCAM37 - 20240319,AZBRD037 - 20240313,AZBRD037 - 20240314,AZAUD02 - 20240313,,AZAUD47 - 20240319,AZGEN037,AZSOIL037
AZ038,Panamaes,,,7.44399,-80.07402,pasture,tourism,2,290,10.1,0.9652,,AZCAM38 - 20240319,AZBRD038 - 20240313,AZBRD038 - 20240314,AZAUD40 - 20240313,,AZAUD03 - 20240319,AZGEN038,AZSOIL038
AZ039,Panamaes,,,7.44692,-80.08559,nat_regen,tourism,0,22,11.8,0.4636,,AZCAM39 - 20240321,AZBRD039 - 20240307,AZBRD039 - 20240308,AZAUD18 - 20240307,,AZAUD52 - 20240321,AZGEN039,AZSOIL039
AZ040,Panamaes,,,7.44692,-80.08312,nat_regen,tourism,2,244,11.9,0.9512,,AZCAM40 - 20240321,AZBRD040 - 20240307,AZBRD040 - 20240308,AZAUD04 - 20240307,,AZAUD25 - 20240321,AZGEN040,AZSOIL040
