point,sample,land_use,site,collect_date,collect_time,tempA,tempB,tempC,avg.temp,tullgren_start,tullgren_end,sample&bag (g),bag (g),sample_mass,funnel,start_time,end_time,weigh_boat,wet_mass,dry_mass,moisture,crew1,crew2,crew3,crew4,notes,notes 
AZ001,AZSOIL001,mature,Achotines,20240311,7:59,,,,,20240311,20240314,2379,12,2367,3,13:31,15:48,29,24,20,0.1667,,,,,,
AZ002,AZSOIL002,mature,Achotines,20240311,8:27,,,,,20240311,20240314,2473,10,2463,7,13:31,15:48,24,19,14,0.2632,,,,,,
AZ003,AZSOIL003,nat.regen,Achotines,20240311,8:56,,,,,20240311,20240314,2393,11,2382,5,13:31,15:48,26,20,14,0.3,,,,,,
AZ004,AZSOIL004,mature,Achotines,20240311,10:40,,,,,20240311,20240314,2435,12,2423,6,13:31,15:48,23,23,18,0.2174,,,,,,
AZ005,AZSOIL005,nat.regen,Achotines,20240311,10:10,,,,,20240311,20240314,2120,12,2108,1,13:31,15:48,38,20,14,0.3,,,,,,
AZ006,AZSOIL006,nat.regen,Achotines,20240308,8:12,28,27.9,28.1,28,20240308,20240311,1759,12,1747,13,11:07,19:05,45,22,18,0.1818,HS,JG,BA,KSV,,
AZ007,AZSOIL007,nat.regen,Achotines,20240308,7:46,27.9,27.7,27.5,27.7,20240308,20240311,2111,12,2099,16,11:07,19:05,27,20,18,0.1,HS,JG,BA,KSV,,
AZ008,AZSOIL008,nat.regen,Achotines,20240308,9:12,27.8,28.1,27.5,27.8,20240308,20240311,1784,12,1772,17,11:07,19:05,11,25,20,0.2,HS,JG,BA,KSV,,
AZ009,AZSOIL009,nat.regen,Achotines,20240308,8:43,27.3,28.3,28.9,28.2,20240308,20240311,2223,12,2211,15,11:07,19:05,30,20,15,0.25,HS,JG,BA,KSV,,
AZ010,AZSOIL010,pasture,Vernes,20240308,9:53,31.3,32.9,33.6,32.6,20240308,20240311,2578,12,2566,14,11:07,19:05,10,20,15,0.25,HS,JG,BA,KSV,,
AZ011,AZSOIL011,pasture,Ruiz,20240312,12:25,,,,,20240312,20240315,3203,12,3191,8,14:14,15:26,19,22,21,0.0455,HS,JG,KSV,,,
AZ012,AZSOIL012,pasture,Ruiz,20240311,11:34,,,,,20240311,20240314,2640,12,2628,4,13:31,15:48,50,23,18,0.2174,,,,,,
AZ013,AZSOIL013,pasture,Ruiz,20240312,12:55,,,,,20240312,20240315,2500,12,2488,15,14:14,15:26,32,22,17,0.2273,HS,JG,KSV,,,
AZ014,AZSOIL014,pasture,Ruiz,20240311,12:03,,,,,20240311,20240314,2252,11,2241,2,13:31,15:48,25,20,16,0.2,,,,,,
AZ015,AZSOIL015,teak,Saralee,20240312,7:12,,,,,20240312,20240315,2337,12,2325,10,14:14,15:26,21,22,18,0.1818,HS,JG,KSV,,,
AZ016,AZSOIL016,teak,Saralee,20240312,6:46,,,,,20240312,20240315,2300,12,2288,14,14:14,15:26,36,20,14,0.3,HS,JG,KSV,,,
AZ017,AZSOIL017,teak,Eco Venao,20240306,11:09,28,28.3,28.6,28.3,20240306,20240309,1771,11,1760,6,14:07,19:02,48,21,19,0.0952,HS,ST,KSV,BA,,
AZ018,AZSOIL018,teak,Eco Venao,20240306,11:43,30.1,29.3,31.3,30.2,20240306,20240309,1898,12,1886,5,14:07,19:02,8,20,16,0.2,HS,ST,KSV,BA,,
AZ019,AZSOIL019,teak,Eco Venao,20240306,12:05,30,30,32.7,30.9,20240306,20240309,1693,13,1680,4,14:07,19:02,16,23,20,0.1304,HS,ST,KSV,BA,,
AZ020,AZSOIL020,teak,Eco Venao,20240307,10:58,30.4,31.1,29.9,30.5,20240307,20240310,1988,13,1975,12,12:42,18:40,5,23,19,0.1739,HS,JG,ST,BA,,
AZ021,AZSOIL021,reforestation,Eco Venao,20240306,9:48,28.5,28.6,28.4,28.5,20240306,20240309,1972,12,1960,3,14:07,19:02,55,21,18,0.1429,HS,ST,KSV,BA,,
AZ022,AZSOIL022,reforestation,Eco Venao,20240306,9:05,27.4,27,28.3,27.6,20240306,20240309,2043,13,2030,1,14:07,19:02,1,21,19,0.0952,HS,ST,KSV,BA,,
AZ023,AZSOIL023,reforestation,Eco Venao,20240306,8:06,28.7,28.2,28.8,28.6,20240306,20240309,1854,13,1841,2,14:07,19:02,3,22,20,0.0909,HS,ST,KSV,BA,,
AZ024,AZSOIL024,reforestation,Eco Venao,20240307,10:16,26.8,28,26.7,27.2,20240307,20240310,2016,13,2003,11,12:42,18:40,14,24,19,0.2083,HS,JG,ST,BA,,
AZ025,AZSOIL025,pasture,Cardenas,20240312,10:28,,,,,20240312,20240315,3234,12,3222,16,14:14,15:26,33,23,17,0.2609,HS,JG,KSV,,,
AZ026,AZSOIL026,pasture,Cardenas,20240312,11:11,,,,,20240312,20240315,2350,13,2337,13,14:14,15:26,35,23,18,0.2174,HS,JG,KSV,,,
AZ027,AZSOIL027,pasture,Cardenas,20240312,8:15,,,,,20240312,20240315,1792,12,1780,12,14:14,15:26,31,24,19,0.2083,HS,JG,KSV,,,
AZ028,AZSOIL028,mature,Eco Venao,20240307,8:08,28.2,27.4,27.8,27.8,20240307,20240310,1843,13,1830,9,12:42,18:40,7,27,22,0.1852,HS,JG,ST,BA,,
AZ029,AZSOIL029,reforestation,Eco Venao,20240307,7:31,29,27.2,28.9,28.4,20240307,20240310,1707,13,1694,7,12:42,18:40,47,21,21,0,HS,JG,ST,BA,,
AZ030,AZSOIL030,pasture,Cardenas,20240312,9:52,,,,,20240312,20240315,2298,12,2286,11,14:14,15:26,17,22,17,0.2273,HS,JG,KSV,,,
AZ031,AZSOIL031,pasture,Cardenas,20240312,9:17,,,,,20240312,20240315,2337,12,2325,9,14:14,15:26,44,22,17,0.2273,HS,JG,KSV,,,
AZ032,AZSOIL032,pasture,Cardenas,20240312,8:46,,,,,20240312,20240315,1742,12,1730,17,14:14,15:26,37,22,15,0.3182,HS,JG,KSV,,,
AZ033,AZSOIL033,mature,Eco Venao,20240307,8:36,27.1,27.2,27,27.1,20240307,20240310,2193,12,2181,10,12:42,18:40,46,20,16,0.2,HS,JG,ST,BA,,
AZ034,AZSOIL034,mature,Eco Venao,20240307,9:16,26.6,26.7,26.6,26.6,20240307,20240310,2452,14,2438,8,12:42,18:40,20,20,16,0.2,HS,JG,ST,BA,,
AZ035,AZSOIL035,pasture,Panamaes,20240319,8:35,,,,,20240319,20240322,2322,12,2310,8,12:20,13:00,9,21,21,0,JS,JG,,,,
AZ036,AZSOIL036,teak,Panamaes,20240319,7:41,,,,,20240319,20240322,2928,12,2916,13,12:20,13:00,34,23,22,0.0435,JS,JG,,,,
AZ037,AZSOIL037,teak,Panamaes,20240319,7:48,,,,,20240319,20240322,2187,12,2175,12,12:20,13:00,52,24,23,0.0417,JS,JG,,,,
AZ038,AZSOIL038,pasture,Panamaes,20240319,10:43,,,,,20240319,20240322,2955,12,2943,7,12:20,13:00,39,23,22,0.0435,JS,JG,,,,
AZ039,AZSOIL039,nat.regen,Panamaes,20240321,8:33,,,,,20240321,20240324,2570,12,2558,2,14:06,15:50,15,23,21,0.087,JG,BA,,,,
AZ040,AZSOIL040,nat.regen,Panamaes,20240321,9:11,,,,,20240321,20240324,2750,12,2738,5,14:06,15:50,62,24,24,0,JG,BA,,,,
AZ041,AZSOIL041,nat.regen,Panamaes,20240321,9:50,,,,,20240321,20240324,2450,12,2438,1,14:06,15:50,49,20,17,0.15,JG,BA,,,,
AZ042,AZSOIL042,reforestation,Panamaes,20240319,9:16,,,,,20240319,20240322,3278,12,3266,9,12:20,13:00,13,21,21,0,JS,JG,,,,
AZ043,AZSOIL043,pasture,Panamaes,20240319,10:04,,,,,20240319,20240322,2976,12,2964,8,12:20,13:00,28,25,25,0,JS,JG,,,,
AZ044,AZSOIL044,mature,Panamaes,20240321,9:02,,,,,20240321,20240324,3025,12,3013,4,14:06,15:50,61,23,21,0.087,JS,,,,,
