point,landowner,finca_number,finca_ID,lat.true,long.true,land_use,output,slope,aspect,elevation,moisture,avg.temp,cam.deployment,bird.count1,bird.count2,bird.audio,bat.audio,sound.audio,gentry.transect,soil sample
AZ001,Achotines,,,7.41481,-80.16959,mature,research,30.5,140,38.5,0.725,,AZCAM01 - 20240322,AZBRD001 - 20240227,AZBRD001 - 20240228,AZAUD01 - 20240301,AZAUD02 - 20240205,AZAUD33 - 20240322,AZGEN001,AZSOIL001
AZ002,Achotines,,,7.41481,-80.16712,mature,research,24,65.5,40.7,0.3786,,AZCAM02 - 20240322,AZBRD002 - 20240227,AZBRD002 - 20240228,AZAUD03 - 20240301,AZAUD04 - 20240205,AZAUD30 - 20240322,AZGEN002,AZSOIL002
AZ003,Achotines,,,7.41481,-80.16464,nat_regen,research,20,227,38.9,0.8286,,AZCAM03 - 20240322,AZBRD003 - 20240227,AZBRD003 - 20240228,AZAUD05 - 20240301,AZAUD06 - 20240205,AZAUD44 - 20240322,AZGEN003,AZSOIL003
AZ004,Achotines,,,7.41728,-80.17206,mature,research,21,339.5,49.6,0.8539,,AZCAM04 - 20240322,AZBRD004 - 20240227,AZBRD004 - 20240228,AZAUD07 - 20240301,AZAUD08 - 20240205,AZAUD19 - 20240322,AZGEN004,AZSOIL004
AZ005,Achotines,,,7.41728,-80.16959,nat_regen,research,19.5,193.5,59.7,0.6915,,AZCAM05 - 20240322,AZBRD005 - 20240227,AZBRD005 - 20240228,AZAUD09 - 20240301,AZAUD10 - 20240205,AZAUD48 - 20240322,AZGEN005,AZSOIL005
AZ006,Achotines,,,7.41728,-80.16712,reforestation,research,20,340,45.4,0.8665,128.8,AZCAM06 - 20240322,AZBRD006 - 20240229,AZBRD006 - 20240301,AZAUD11 - 20240301,AZAUD12 - 20240205,AZAUD29 - 20240322,AZGEN006,AZSOIL006
AZ007,Achotines,,,7.41728,-80.16465,reforestation,research,23,322,28.1,0.9127,117,AZCAM07 - 20240322,AZBRD007 - 20240229,AZBRD007 - 20240301,AZAUD13 - 20240301,AZAUD14 - 20240205,AZAUD18 - 20240322,AZGEN007,AZSOIL007
AZ008,Achotines,,,7.41975,-80.16959,nat_regen,research,32,200.5,67.1,0.6653,89.4,AZCAM08 - 20240322,AZBRD008 - 20240229,AZBRD008 - 20240301,AZAUD15 - 20240301,AZAUD16 - 20240205,AZAUD14 - 20240322,AZGEN008,AZSOIL008
AZ009,Achotines,,,7.41975,-80.16711,nat_regen,research,4,10,58.9,-4.89,21.3,AZCAM09 - 20240322,AZBRD009 - 20240229,AZBRD009 - 20240301,AZAUD17 - 20240301,AZAUD18 - 20240205,AZAUD53 - 20240322,AZGEN009,AZSOIL009
AZ010,Vernes,,,7.41994,-80.16457,pasture,cattle,10,180,35.8,0.8011,72.2,AZCAM10 - 20240322,AZBRD010 - 20240229,AZBRD010 - 20240301,AZAUD44 - 20240308,,AZAUD12 - 20240322,AZGEN010,AZSOIL010
