point,sample,land_use,site,collect_date,collect_time,tempA,tempB,tempC,avg.temp,tullgren_start,tullgren_end,sample&bag (g),bag (g),sample_mass,funnel,start_time,end_time,weigh_boat,wet_mass,dry_mass,moisture,crew1,crew2,crew3,crew4,notes,notes 
AZ001,AZSOIL001,mature,Achotines,20240311,7:59,,,,,20240311,20240314,2379,12,2367,3,13:31,15:48,29,24,20,0.1667,,,,,,
AZ002,AZSOIL002,mature,Achotines,20240311,8:27,,,,,20240311,20240314,2473,10,2463,7,13:31,15:48,24,19,14,0.2632,,,,,,
AZ003,AZSOIL003,nat.regen,Achotines,20240311,8:56,,,,,20240311,20240314,2393,11,2382,5,13:31,15:48,26,20,14,0.3,,,,,,
AZ004,AZSOIL004,mature,Achotines,20240311,10:40,,,,,20240311,20240314,2435,12,2423,6,13:31,15:48,23,23,18,0.2174,,,,,,
AZ005,AZSOIL005,nat.regen,Achotines,20240311,10:10,,,,,20240311,20240314,2120,12,2108,1,13:31,15:48,38,20,14,0.3,,,,,,
AZ006,AZSOIL006,nat.regen,Achotines,20240308,8:12,28,27.9,28.1,28,20240308,20240311,1759,12,1747,13,11:07,19:05,45,22,18,0.1818,HS,JG,BA,KSV,,
AZ007,AZSOIL007,nat.regen,Achotines,20240308,7:46,27.9,27.7,27.5,27.7,20240308,20240311,2111,12,2099,16,11:07,19:05,27,20,18,0.1,HS,JG,BA,KSV,,
AZ008,AZSOIL008,nat.regen,Achotines,20240308,9:12,27.8,28.1,27.5,27.8,20240308,20240311,1784,12,1772,17,11:07,19:05,11,25,20,0.2,HS,JG,BA,KSV,,
AZ009,AZSOIL009,nat.regen,Achotines,20240308,8:43,27.3,28.3,28.9,28.2,20240308,20240311,2223,12,2211,15,11:07,19:05,30,20,15,0.25,HS,JG,BA,KSV,,
AZ010,AZSOIL010,pasture,Vernes,20240308,9:53,31.3,32.9,33.6,32.6,20240308,20240311,2578,12,2566,14,11:07,19:05,10,20,15,0.25,HS,JG,BA,KSV,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
