point,gentry_transect,meter,circumference,dbh,stem,family,genus,species,name,code
AZ001,AZGEN001,5,77,24.51,1,Anacardiaceae,Astronium,graveolens,Astronium graveolens,AST2GR
AZ001,AZGEN001,7,12,3.82,1,Sapotaceae,Pouteria,campechiana,Pouteria campechiana,POUTCA
AZ001,AZGEN001,7,11,3.5,2,Sapotaceae,Pouteria,campechiana,Pouteria campechiana,POUTCA
AZ001,AZGEN001,7,11,3.5,3,Sapotaceae,Pouteria,campechiana,Pouteria campechiana,POUTCA
AZ001,AZGEN001,9,103.8,33.04,1,Anacardiaceae,Astronium,graveolens,Astronium graveolens,AST2GR
AZ001,AZGEN001,10,30,9.55,1,Menispermaceae,Hyperbaena,tonduzii,Hyperbaena tonduzii,HYPETO
AZ001,AZGEN001,12,17,5.41,1,Bignoniaceae,Handroanthus,guayacan,Handroanthus guayacan,TAB1GU
AZ001,AZGEN001,13,12,3.82,1,Anacardiaceae,Astronium,graveolens,Astronium graveolens,AST2GR
AZ001,AZGEN001,16,185,58.89,1,Fabaceae,Platymiscium,pinnatum,Platymiscium pinnatum,
AZ001,AZGEN001,20,44,14.01,1,Bignoniaceae,Handroanthus,guayacan,Handroanthus guayacan,TAB1GU
AZ001,AZGEN001,22,90,28.65,1,Rubiaceae,Calycophyllum,candidissimum,Calycophyllum candidissimum,CAL2CA
AZ001,AZGEN001,23,18,5.73,1,Rubiaceae,Genipa,americana,Genipa americana,GENIAM
AZ001,AZGEN001,23,15,4.77,1,Bignoniaceae,Bignonia,aequinoctialis,Bignonia aequinoctialis,
AZ001,AZGEN001,25,20,6.37,1,Fabaceae,Schnella,guianensis,Schnella guianensis,
AZ001,AZGEN001,26.5,33,10.5,1,Bignoniaceae,Handroanthus,guayacan,Handroanthus guayacan,TAB1GU
AZ001,AZGEN001,28.5,30,9.55,1,Sapotaceae,Pouteria,campechiana,Pouteria campechiana,POUTCA
AZ001,AZGEN001,28.5,26,8.28,2,Sapotaceae,Pouteria,campechiana,Pouteria campechiana,POUTCA
AZ001,AZGEN001,28.5,11,3.5,3,Sapotaceae,Pouteria,campechiana,Pouteria campechiana,POUTCA
