point,camera,lat.true,long.true,finca,sd.card,set.date,collect.date,timelapse.end,range,program,hard.drive1,cam.deployment,notes
AZ001,AZCAM01,7.41481,-80.16959,Achotines,1,20240125,20240322,20240322,6,timelapse plus,AZDRV01,AZCAM01 - 20240322,
AZ002,AZCAM02,7.41481,-80.16712,Achotines,2,20240125,20240322,20240322,6,timelapse plus,AZDRV01,AZCAM02 - 20240322,
AZ003,AZCAM03,7.41481,-80.16464,Achotines,3,20240125,20240322,20240322,5,timelapse plus,AZDRV01,AZCAM03 - 20240322,
AZ004,AZCAM04,7.41728,-80.17206,Achotines,4,20240126,20240322,20240322,5,timelapse plus,AZDRV01,AZCAM04 - 20240322,
AZ005,AZCAM05,7.41728,-80.16959,Achotines,5,20240126,20240322,20240311,4,timelapse plus,AZDRV01,AZCAM05 - 20240322,
AZ006,AZCAM06,7.41728,-80.16712,Achotines,6,20240126,20240322,20240322,5,timelapse plus,AZDRV01,AZCAM06 - 20240322,
AZ007,AZCAM07,7.41728,-80.16465,Achotines,7,20240126,20240322,20240322,5.5,timelapse plus,AZDRV01,AZCAM07 - 20240322,
AZ008,AZCAM08,7.41975,-80.16959,Achotines,8,20240126,20240322,20240322,5,timelapse plus,AZDRV01,AZCAM08 - 20240322,
AZ009,AZCAM09,7.41975,-80.16711,Achotines,9,20240126,20240322,20240322,4.6,timelapse plus,AZDRV01,AZCAM09 - 20240322,
AZ010,AZCAM10,7.41994,-80.16457,Vernes,10,20240220,20240322,20240322,7.7,timelapse plus,AZDRV01,AZCAM10 - 20240322,
