project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by,remarks
2007494,AZCAM52 - 20240318,AZ052,-80.08065,7.45433,08/02/2024 0:00,18/03/2024 0:00,None,,Other,,2106218,AZCAM52,1,Camera Functioning,Knee height,,Parallel,,,,4.5,,,,,,,
2007494,AZCAM03 - 20240322,AZ003,-80.16464,7.41481,25/01/2024 0:00,22/03/2024 0:00,None,,Other,,2105351,AZCAM03,1,Camera Functioning,Knee height,,Parallel,,,,5,,,,,,,
2007494,AZCAM34 - 20240315,AZ034,-80.20664,7.44692,01/02/2024 0:00,15/03/2024 0:00,None,,Other,,2105901,AZCAM34,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007494,AZCAM08 - 20240322,AZ008,-80.16959,7.41975,26/01/2024 0:00,22/03/2024 0:00,None,,Other,,2105623,AZCAM08,1,Camera Functioning,Knee height,,Parallel,,,,5,,,,,,,
2007494,AZCAM20 - 20240315,AZ020,-80.2017,7.43951,29/01/2024 0:00,15/03/2024 0:00,None,,Other,,2105805,AZCAM20,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007494,AZCAM33 - 20240315,AZ033,-80.20911,7.44692,01/02/2024 0:00,15/03/2024 0:00,None,,Trail game,,2105899,AZCAM33,3,Camera Functioning,Knee height,,Parallel,,,,4.3,,,,,,,
2007494,AZCAM42 - 20240319,AZ042,-80.07818,7.44692,08/02/2024 0:00,19/03/2024 0:00,None,,Other,,2105916,AZCAM42,1,Camera Functioning,Knee height,,Parallel,,,,3,,,,,,,
2007494,AZCAM44 - 20240321,AZ044,-80.08793,7.44944,08/02/2024 0:00,21/03/2024 0:00,None,,Other,,2105923,AZCAM44,1,Camera Functioning,Knee height,,Parallel,,,,5.2,,,,,,,
2007494,AZCAM47 - 20240318,AZ047,-80.08065,7.44939,08/02/2024 0:00,18/03/2024 0:00,None,,Other,,2106014,AZCAM47,1,Camera Functioning,Knee height,,Parallel,,,,4.5,,,,,,,
2007494,AZCAM24 - 20240315,AZ024,-80.20155,7.44185,29/01/2024 0:00,15/03/2024 0:00,None,,Other,,2105808,AZCAM24,1,Camera Functioning,Knee height,,Parallel,,,,3,,,,,,,
