camera,point,finca,sd.card,set.date,collect.date,timelapse.end,range,program,hard.drive1,folder,notes
AZCAM01,AZ001,Achotines,1,20240125,20240322,20240322,6,timelapse plus,AZDRV01,AZCAM01 - 20240322,
AZCAM02,AZ002,Achotines,2,20240125,20240322,20240322,6,timelapse plus,AZDRV01,AZCAM02 - 20240322,
AZCAM03,AZ003,Achotines,3,20240125,20240322,20240322,5,timelapse plus,AZDRV01,AZCAM03 - 20240322,
AZCAM04,AZ004,Achotines,4,20240126,20240322,20240322,5,timelapse plus,AZDRV01,AZCAM04 - 20240322,
AZCAM05,AZ005,Achotines,5,20240126,20240322,20240311,4,timelapse plus,AZDRV01,AZCAM05 - 20240322,
AZCAM06,AZ006,Achotines,6,20240126,20240322,20240322,5,timelapse plus,AZDRV01,AZCAM06 - 20240322,
AZCAM07,AZ007,Achotines,7,20240126,20240322,20240322,5.5,timelapse plus,AZDRV01,AZCAM07 - 20240322,
AZCAM08,AZ008,Achotines,8,20240126,20240322,20240322,5,timelapse plus,AZDRV01,AZCAM08 - 20240322,
AZCAM09,AZ009,Achotines,9,20240126,20240322,20240322,4.6,timelapse plus,AZDRV01,AZCAM09 - 20240322,
AZCAM10,AZ010,Vernes,10,20240220,20240322,20240322,7.7,timelapse plus,AZDRV01,AZCAM10 - 20240322,
AZCAM11,AZ011,Ruiz,11,20240130,20240312,20240312,6,timelapse plus,AZDRV01,AZCAM11 - 20240312,
AZCAM12,AZ012,Ruiz,12,20240202,20240315,20240311,4,timelapse plus,AZDRV01,AZCAM12 - 20240315,"The actual dates of operation for AZCAM12 are: 20240202-20240211, 20240304-20240311"
AZCAM13,AZ013,Ruiz,13,20240130,20240312,20240312,4,timelapse plus,AZDRV01,AZCAM13 - 20240312,
AZCAM14,AZ014,Ruiz,14,20240130,20240315,20240315,5,timelapse plus,AZDRV01,AZCAM14 - 20240315,
AZCAM15,AZ015,Saralee,15,20240130,20240312,20240312,7,timelapse plus,AZDRV01,AZCAM15 - 20240312,
AZCAM16,AZ016,Saralee,16,20240130,20240312,20240312,5,timelapse plus,AZDRV01,AZCAM16 - 20240312,
AZCAM17,AZ017,Eco Venao,17,20240129,20240315,20240315,4.5,timelapse plus,AZDRV01,AZCAM17 - 20240315,
AZCAM18,AZ018,Eco Venao,18,20240129,20240315,20240315,6,timelapse plus,AZDRV01,AZCAM18 - 20240315,
AZCAM19,AZ019,Eco Venao,19,20240129,20240315,20240315,5,timelapse plus,AZDRV01,AZCAM19 - 20240315,
AZCAM20,AZ020,Eco Venao,20,20240129,20240315,20240315,,timelapse plus,AZDRV01,AZCAM20 - 20240315,
AZCAM21,AZ021,Eco Venao,21,20240129,20240315,20240315,4,timelapse plus,AZDRV01,AZCAM21 - 20240315,
AZCAM22,AZ022,Eco Venao,22,20240129,20240315,20240315,3,timelapse plus,AZDRV01,AZCAM22 - 20240315,
AZCAM23,AZ023,Eco Venao,23,20240129,20240315,20240311,3,timelapse plus,AZDRV01,AZCAM23 - 20240315,
AZCAM24,AZ024,Eco Venao,24,20240129,20240315,20240315,3,timelapse plus,AZDRV01,AZCAM24 - 20240315,
AZCAM25,AZ025,cardenas,25,20240202,20240312,20240312,5,timelapse plus,AZDRV01,AZCAM25 - 20240312,
AZCAM26,AZ026,cardenas,26,20240202,20240312,20240312,3.6,timelapse plus,AZDRV01,AZCAM26 - 20240312,
AZCAM27,AZ027,cardenas,27,20240202,20240312,20240312,3.5,timelapse plus,AZDRV01,AZCAM27 - 20240312,
AZCAM28,AZ028,Eco Venao,28,20240201,20240315,20240315,5,timelapse plus,AZDRV01,AZCAM28 - 20240315,
AZCAM29,AZ029,Eco Venao,29,20240201,20240315,20240315,4,timelapse plus,AZDRV01,AZCAM29 - 20240315,
AZCAM30,AZ030,cardenas,30,20240202,20240312,20240312,3.5,timelapse plus,AZDRV01,AZCAM30 - 20240312,
AZCAM31,AZ031,cardenas,31,20240202,20240312,20240312,6.5,timelapse plus,AZDRV01,AZCAM31 - 20240312,
AZCAM32,AZ032,cardenas,32,20240223,20240312,20240312,4.6,timelapse plus,AZDRV01,AZCAM32 - 20240312,
AZCAM33,AZ033,Eco Venao,33,20240201,20240315,20240315,4.3,timelapse plus,AZDRV01,AZCAM33 - 20240315,
AZCAM34,AZ034,Eco Venao,34,20240201,20240315,20240315,,timelapse plus,AZDRV01,AZCAM34 - 20240315,
AZCAM35,AZ035,Panamaes,35,20240207,20240319,20240319,11.5,timelapse plus,AZDRV01,AZCAM35 - 20240319,
AZCAM36,AZ036,Panamaes,36,20240207,20240319,20240319,5,timelapse plus,AZDRV01,AZCAM36 - 20240319,
AZCAM37,AZ037,Panamaes,37,20240207,20240319,20240319,5.1,timelapse plus,AZDRV01,AZCAM37 - 20240319,
AZCAM38,AZ038,Panamaes,38,20240208,20240319,20240314,,timelapse plus,AZDRV01,AZCAM38 - 20240319,
AZCAM39,AZ039,Panamaes,39,20240207,20240321,20240321,3.3,timelapse plus,AZDRV01,AZCAM39 - 20240321,
AZCAM40,AZ040,Panamaes,40,20240207,20240321,20240321,4,timelapse plus,AZDRV01,AZCAM40 - 20240321,
AZCAM41,AZ041,Panamaes,41,20240208,20240321,20240321,5,timelapse plus,AZDRV01,AZCAM41 - 20240321,
AZCAM42,AZ042,Panamaes,42,20240208,20240319,20240319,4.5,timelapse plus,AZDRV01,AZCAM42 - 20240319,
AZCAM43,AZ043,Panamaes,43,20240208,20240319,20240319,10,timelapse plus,AZDRV01,AZCAM43 - 20240319,
AZCAM44,AZ044,Panamaes,44,20240208,20240321,20240321,5.2,timelapse plus,AZDRV01,AZCAM44 - 20240321,
AZCAM45,AZ045,Panamaes,45,20240208,20240321,20240321,5.2,timelapse plus,AZDRV01,AZCAM45 - 20240321,
AZCAM46,AZ046,Panamaes,46,20240208,20240318,20240318,5,timelapse plus,AZDRV01,AZCAM46 - 20240318,
AZCAM47,AZ047,Panamaes,47,20240208,20240318,20240318,4.5,timelapse plus,AZDRV01,AZCAM47 - 20240318,
AZCAM48,AZ048,Panamaes,48,20240208,20240319,20240319,5,timelapse plus,AZDRV01,AZCAM48 - 20240319,
AZCAM49,AZ049,Panamaes,49,20240208,20240318,20240318,5.3,timelapse plus,AZDRV01,AZCAM49 - 20240318,
AZCAM50,AZ050,Panamaes,50,20240208,20240318,20240318,6,timelapse plus,AZDRV01,AZCAM50 - 20240318,
AZCAM51,AZ051,Panamaes,51,20240208,20240318,20240318,5,timelapse plus,AZDRV01,AZCAM51 - 20240318,
AZCAM52,AZ052,Panamaes,52,20240208,20240318,20240318,4.5,timelapse plus,AZDRV01,AZCAM52 - 20240318,
AZCAM53,AZ053,Panamaes,106,20240209,20240321,20240321,3.5,timelapse plus,AZDRV01,AZCAM53 - 20240321,
